"DOY" "Depth" "NPP"
219 100 1.81
219 120 0.61
219 140 0.2
255 1 4.26
255 20 2.6
255 40 6.48
255 60 4.69
255 80 3.33
255 100 2.27
255 120 0.79
255 140 0.03
281 1 8.45
281 20 4.17
281 40 9.1
281 60 5.59
281 80 4.02
281 100 0.9
281 120 0.28
313 1 6.19
313 20 12.28
313 40 7.85
313 60 6.87
313 80 5.62
313 100 2.57
313 120 0.71
313 140 0.22
345 1 10.87
345 20 10.51
345 40 7.13
345 60 5.1
345 80 1.41
345 100 1.47
345 120 0.32
345 140 0.01
44 1 14.36
44 20 19.63
44 40 14.24
44 60 5.62
44 80 1.3
44 100 0.4
44 120 0.11
44 140 0.03
58 1 13.86
58 20 15.74
58 40 12.24
58 60 4.98
58 80 1.7
58 100 0.7
58 120 0.3
58 140 0.08
66 1 10.08
66 20 11.91
66 40 8.04
66 60 5.01
66 80 1.88
66 100 0.78
66 120 0.26
66 140 0.08
78 1 10.26
78 20 12.46
78 40 7.01
78 60 9.9
78 80 0.51
78 100 1.36
78 120 0.4
78 140 0.12
106 1 3.57
106 20 3.64
106 40 2.98
106 60 2.49
106 80 1.93
106 100 1.88
106 120 1.7
106 140 0.41
133 1 4.97
133 20 4.76
133 40 4.86
133 60 6.43
133 80 4.46
133 100 1.23
133 120 0.03
133 140 0.03
155 1 6.58
155 20 5.12
155 40 5.57
155 60 6.25
155 80 4.86
155 100 3.08
155 120 0.83
155 140 0.16
183 1 7.72
183 20 7.63
183 40 6.39
183 60 4.75
183 80 2.33
183 100 2.36
183 120 1.56
183 140 0.63
232 1 7.14
232 20 5.4
232 40 4.44
232 60 4.25
232 80 3.1
232 100 2.25
232 120 1.29
232 140 0.24
260 1 6.58
260 20 6.35
260 40 6.98
260 60 5.9
260 80 8.42
260 100 1.36
260 120 0.73
260 140 0.17
281 1 5.76
281 20 6.18
281 40 5.74
281 60 4.98
281 80 3.31
281 100 1.45
281 120 0.83
281 140 0.22
317 1 7.84
317 20 8.2
317 40 4.75
317 60 5.51
317 80 3.63
317 100 2.9
317 120 0.58
317 140 0.04
344 1 6.88
344 20 7
344 40 3.82
344 60 2.63
344 80 1.1
344 100 0.48
344 120 0.36
35 1 12.95
35 20 12.57
35 40 7.93
35 60 4.95
35 80 2.14
35 100 0.7
35 120 0.07
35 140 0.08
52 1 6.99
