"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
182 99.9 0.1 0.2 0.5 0.2
182 120.1 0 0.333333333333333 0.333333333333333 0.333333333333333
182 7.1 0 0.125 0.375 0.5
182 17.8 0 0.285714285714286 0.142857142857143 0.571428571428571
182 36.2 0 0.285714285714286 0.142857142857143 0.571428571428571
182 43 0.1 0.2 0.2 0.5
182 55.6 0.0526315789473684 0.131578947368421 0.289473684210526 0.526315789473684
182 60 0.0789473684210526 0.131578947368421 0.236842105263158 0.552631578947368
182 73.8 0.0789473684210526 0.157894736842105 0.315789473684211 0.447368421052632
182 84.7 0.173913043478261 0.173913043478261 0.217391304347826 0.434782608695652
182 59.5 0.0833333333333333 0.15 0.25 0.516666666666667
182 6.6 0 0.166666666666667 0.166666666666667 0.666666666666667
