"DOY" "Depth" "PRO"
288 74.6 1.418
288 100.5 1.756
288 123.7 0.583
288 149.1 0.133
288 177.3 0.04
314 10.5 1.711
314 25.5 1.753
314 45.5 1.729
314 75.4 1.784
314 103.6 1.724
314 129.3 0.377
314 144.9 0.182
314 176.3 0.037
354 10 0.804
354 25.1 0.912
354 45.4 1.384
354 74.5 1.464
354 100.6 1.244
354 125.7 0.575
354 149 0.088
354 179.8 0.005
56 25.1 1.385
56 43.7 2.028
56 74.4 1.673
56 97.9 0.654
56 123.6 0.079
56 149.9 0.006
56 177 0.006
80 6.7 1.231
80 24.4 1.376
80 44.8 1.66
80 73.9 1.622
80 100 1.033
80 123.8 0.483
80 148.7 0.19
80 174.5 0.095
112 3.9 1.473
112 23.1 1.658
112 44 1.735
112 73.4 2.518
112 98.5 1.682
112 123.6 0.571
112 148.3 0.182
112 174.1 0.054
140 4.7 0.194
140 24.2 0.192
140 44.5 0.223
140 74.3 0.656
140 99.1 1.758
140 124.6 0.709
140 149.5 0.307
140 174.8 0.061
168 4 1.107
168 24.3 1.093
168 44.3 1.593
168 74.3 2.065
168 99.5 1.111
168 124.4 0.401
168 149.2 0.171
168 174.8 0.068
230 5.2 1.348
230 24.6 1.602
230 45.6 1.711
230 74.6 1.74
230 99.1 0.978
230 124.4 0.314
230 149.3 0.149
230 175 0.036
273 4.8 1.788
273 24.8 1.693
273 44.3 2.001
273 73.9 2.481
273 99.6 2.043
273 125.6 0.599
273 149.3 0.23
273 175.5 0.043
305 5 1.661
305 25.4 1.609
305 46.5 1.52
305 74.7 1.848
305 99.5 1.416
305 125.6 0.284
305 150 0.151
305 176.4 0.038
333 4.8 1.049
333 25 1.028
333 44.9 1.082
333 76.1 1.963
333 99.3 0.774
333 124.6 0.314
333 150 0.129
333 175.7 0.013
356 5.1 1.792
356 24.3 1.738
356 44.9 1.764
356 76.1 1.779
356 100.6 0.587
356 124.8 0.105
356 150.1 0.007
356 176.9 0.002
33 5 1.667
33 25.1 1.693
33 44.9 1.467
33 74.5 0.492
33 100.3 0.266
33 125 0.132
33 151 0.01
33 174.7 0.002
64 5.5 1.141
64 25.1 1.152
64 44.4 1.258
64 75 2.023
64 99.6 0.481
64 125.3 0.226
64 150 0.035
64 173.9 0.006
139 13.4 0.199
139 25.9 0.36
139 43.2 0.34
139 75.9 0.532
139 99.8 0.711
139 124.4 0.538
139 149.7 0.216
139 175 0.182
166 13.5 0.556
166 24.9 0.453
166 43.7 0.432
166 75.2 0.412
166 99.5 0.721
166 125.1 0.303
166 149.8 0.025
166 175.5 0.028
198 4.9 0.526
198 25.4 0.57
198 45.3 0.435
198 75 0.551
198 100.6 0.833
198 125 0.592
198 150.1 0.266
198 174.8 0.059
226 4.8 0.586
226 24.9 0.539
226 45.5 0.642
226 75.3 0.672
226 100.1 1.29
226 125.1 0.74
226 150.1 0.245
226 175.8 0.15
253 5.7 0.563
253 23.9 0.555
253 44.8 0.815
253 76.1 1.486
253 98.1 0.463
253 123.5 0.223
253 149.4 0.123
253 174.3 0.071
282 8 0.221
282 25.2 0.238
282 45.8 0.211
282 75.3 0.278
282 100.2 0.922
282 125.4 0.284
282 151.3 0.066
282 174.1 0.01
316 9.2 2.094
316 24.5 2.125
316 43.5 2.112
316 73.6 2.044
316 99 0.834
316 123.8 0.356
316 148.8 0.152
316 174.7 0.078
347 5 2.021
347 25.2 1.425
347 44.5 1.79
347 75.8 2.077
347 100.8 1.135
347 125.1 0.562
347 149.2 0.209
347 178.7 0.035
25 7.7 1.952
25 24.7 1.991
25 46.9 1.977
25 74.8 1.908
25 100.4 1.84
25 125.2 2.127
25 149.8 0.616
25 175.7 0.089
46 10.3 2.192
46 24.6 2.299
46 45.3 2.303
46 73.9 1.192
46 100.4 0.339
46 125.3 0.115
46 149.8 0.023
46 177 0.004
69 5.4 1.983
69 24.5 2.029
69 46.2 2.087
69 75.5 2.095
69 99.7 2.015
69 123.1 1.611
69 150 0.346
69 173.6 0.039
92 6.2 2.263
92 25.5 2.966
92 45 2.281
92 75.6 1.905
92 100.5 1.04
92 124.3 0.351
92 149.7 0.117
92 176.3 0.043
147 7.3 1.646
147 26.5 1.87
147 46.4 2.029
147 76.3 1.358
147 101.2 0.775
147 124.6 0.46
147 150.4 0.223
147 176.2 0.03
165 8.2 2.356
165 25 2.081
165 46 2.571
165 76.1 2.468
165 100.9 2.785
165 124.9 0.855
165 150.9 0.321
165 176.6 0.043
194 75 2.727
194 100.7 1.369
194 125.5 0.184
194 149.8 0.058
194 174.5 0.045
221 7.5 1.378
221 25.8 1.293
221 60 2.274
221 89.8 1.997
221 115 0.435
221 150.5 0.136
221 164.5 0.05
221 174.8 0.035
259 6.3 2.163
259 26.3 2.384
259 46.1 2.634
259 75.6 2.499
259 100.8 2.453
259 125.3 0.699
259 150.4 0.12
259 175.7 0.018
294 8.7 1.862
294 25.3 2.088
294 45.1 2.891
294 74.5 2.799
294 101.4 1.801
294 126 0.449
294 151.6 0.272
294 173.6 0.067
313 6.9 2.002
313 25 2.349
313 45.5 2.308
313 76.1 2.212
313 100.8 1.982
313 124.8 0.597
313 150.1 0.144
313 175 0.024
344 9 1.738
344 23.7 1.781
344 44.6 1.768
344 75 1.298
344 101 0.606
344 125.7 0.278
344 175.6 0.018
38 5.1 1.887
38 24.6 1.874
38 45.2 2.006
38 75.5 1.19
38 100.8 0.379
38 123.4 0.06
38 149 0.003
38 174.7 0.001
80 4.4 1.402
80 25 1.508
80 75.1 1.643
80 99.7 0.929
80 124.2 0.251
80 149.7 0.037
80 174.1 0.002
125 7.4 2.198
125 25.9 2.156
125 44.5 2.51
125 75.3 2.863
125 100.2 2.577
125 125.3 1.151
125 149.6 0.337
125 174.5 0.105
189 6.8 1.74
189 24.8 1.82
189 45.3 1.81
189 75.9 2.492
189 99.8 2.197
189 124.8 0.499
189 149.7 0.157
189 175 0.053
216 7.9 1.72
216 25.2 1.852
216 44.9 2.436
216 75.9 2.017
216 100.1 1.647
216 125.4 0.661
216 149.9 0.313
216 175.3 0.142
246 6.6 2.197
246 25.8 2.499
246 46 2.581
246 75.9 2.792
246 100.5 2.417
246 125.4 0.548
246 150.5 0.101
246 176 0.113
275 4.5 2.025
275 24.8 2.083
275 44.3 2.173
275 75.7 2.606
275 99 2.065
275 126 0.758
275 149.7 0.174
275 176.9 0.086
335 8.8 2.158
335 24.7 2.025
335 44.9 1.757
335 74.9 1.698
335 99.4 0.673
335 126.3 0.199
354 5.8 1.374
354 24 1.465
354 45.8 1.354
354 76 1.276
354 101.1 0.887
354 123.1 0.32
354 149.2 0.058
354 175.1 0.029
29 5.8 1.445
29 24.5 1.499
29 45.7 1.474
29 74.5 1.474
29 99.7 1.2
29 124.2 0.338
29 150.5 0.078
29 177.2 0.006
54 7.4 1.711
54 27.8 2.044
54 46.4 2.106
54 76.6 2.305
54 126.3 0.555
54 151.7 0.125
54 176.6 0.011
148 7.5 1.879
148 26.1 2.335
148 46 2.295
148 75.6 2.453
148 101.1 2.943
148 125.6 1.044
148 150 0.264
148 175.6 0.103
177 9.2 1.905
177 24.6 1.867
177 44.1 1.819
177 74.2 2.347
177 99.2 1.631
177 124.3 0.708
177 149.5 0.288
177 174 0.052
208 8.4 1.627
208 25.3 1.599
208 44.7 2.225
208 75 2.58
208 100.9 2.104
208 125.3 0.71
208 150 0.185
208 176.1 0.06
229 6.2 2.755
229 24.9 2.861
229 43.7 2.928
229 74.3 2.759
229 100.1 0.872
229 125.6 0.308
229 150.2 0.096
229 174.3 0.033
284 6 2.476
284 24.5 2.161
284 44.2 2.6
284 74.3 2.155
284 99.2 0.843
284 124.1 0.296
284 148.9 0.068
284 174 0.015
335 10.1 2.156
335 22.3 2.105
335 43.3 2.044
335 76.7 2.056
335 100.2 1.134
335 121.8 0.582
335 147.5 0.168
335 175 0.008
20 6.6 1.97
20 24.6 2.06
20 45.3 2
20 74.4 2.067
20 99.6 1.93
20 125.3 0.367
20 150.4 0.232
20 175 0.009
48 6.7 1.198
48 24.8 1.23
48 45.4 1.259
48 74.9 1.283
48 100 0.57
48 126 0.373
48 150 0.057
48 173.9 0.009
118 5 1.604
118 25 1.978
118 44.7 2.402
118 75 2.33
118 99.8 1.274
118 125.1 0.27
118 150.1 0.138
118 175.2 0.025
147 7.2 1.847
147 27.1 1.925
147 47 1.796
147 76.9 2.269
147 101.9 1.132
147 126.7 0.47
147 151.7 0.21
147 176.8 0.085
184 8.2 1.77
184 25.1 1.751
184 44.7 2.19
184 74.4 2.475
184 100.1 1.725
184 125.9 0.693
184 150.1 0.237
184 175.3 0.162
205 7.6 1.583
205 24.9 1.61
205 45.1 2.021
205 75.4 2.793
205 99.9 1.812
205 124.9 0.382
205 150.2 0.138
205 175.3 0.018
