"DOY" "Depth" "DOC"
208 174.7 54.69
208 199.6 49.81
236 5.1 79.08
236 91.4 77.13
236 5 76.15
236 15.2 76.15
236 24.9 72.25
236 44.9 70.29
236 73.9 77.13
236 105.3 68.34
236 114.8 60.53
236 126 61.51
291 193.5 56.64
292 4.9 73.23
292 14.7 85.92
292 24.9 82.02
292 44.7 86.9
292 60.1 78.11
292 75 69.32
292 99.7 64.44
292 126 59.56
292 151.3 53.7
292 174.7 57.61
335 4.6 53.71
335 25.2 81.06
335 44.8 65.43
335 74.5 63.47
335 99.6 64.45
335 125.1 53.71
335 150.1 58.59
335 174.6 73.24
355 4.6 70.32
355 15.1 99.62
355 23.9 80.09
355 34.5 112.32
355 45.3 95.71
355 58.9 83.01
355 72.8 76.18
355 99.3 80.07
355 122.2 80.07
355 150.4 66.4
355 172.3 69.33
355 199.6 68.36
108 23.1 96.22
108 33.8 76.29
108 43.9 77.74
108 59.3 79.51
108 83.8 80.79
108 114 76.18
108 148.2 75.22
108 163.4 72.01
108 199.5 72.41
137 4 99.64
137 14.4 93.16
137 24.3 104.99
137 34 96.55
137 43.6 95.56
137 73.8 96.19
137 99.7 96.59
137 148.8 94.93
137 174.9 80.15
165 3.5 70.94
165 3.5 73.9
165 14.1 73.75
165 24.2 71.14
165 34 73.07
165 44 71.69
165 59.5 73.74
165 73.9 72.36
165 99.5 70.72
165 124.3 65.51
165 148.7 61.95
165 173.5 58.14
165 199.8 54.28
192 4.7 71.41
192 14.1 70.66
192 24.3 71.48
192 34.1 70.88
192 44.6 68.99
192 59.8 68
192 75.4 66.78
192 99.9 67.51
192 124.3 66.13
192 148.9 61.85
192 174.5 58.39
192 199.7 56.38
220 4.3 74.95
220 14.6 74.46
220 25 76.9
220 24.9 71.85
220 35.1 75.28
220 44.5 75.88
220 60 75.17
220 74.3 72.66
220 99.9 70.65
220 124.8 66.44
220 149.6 61.16
220 176.5 55.16
220 199.1 51.48
221 198.6 54.35
275 5.5 75.69
275 15.1 76.96
275 25 76.1
275 44.9 76.2
275 60.4 76.42
275 75.4 72.96
275 100.2 67.03
275 124.5 64.16
275 150 60.35
275 174.9 58
296 5.1 80.29
296 15.1 77.47
296 25 77.36
296 34.7 76.87
296 45.9 78.14
296 59 76.87
296 75.7 76.2
296 99.4 70.39
296 126.4 62.71
296 174.5 55.48
321 4.6 74.55
321 14.8 76.63
321 24.3 74.89
321 34.4 74.15
321 44.2 71.76
321 59.2 77.71
321 74.5 71.83
321 100.6 69.4
321 124.1 64.85
321 150.1 59.65
321 175.5 55.32
321 198.9 55.38
349 3.9 72.35
349 14.6 72.1
349 24 71.91
349 33.4 72.54
349 44.8 74.07
349 61 74.48
349 73.3 65.58
349 99.1 62.65
349 124.1 61.75
349 147.8 60.27
349 175.9 59.15
349 197 55.47
16 4.1 79.61
16 14.5 80.08
16 24.6 76.96
16 33.8 78.12
16 44.2 77.28
16 58.3 77.65
16 75.3 79.42
16 97.9 79.6
16 124.2 74.34
16 149 72.9
16 174.7 68.38
16 198.1 66.6
52 4.3 78.82
52 14.2 70.23
52 25.5 72.65
52 34.3 73.62
52 44.1 76.49
52 58.6 70.33
52 73.5 70.36
52 98.7 62.55
52 123.7 57.76
52 152.3 57.76
52 172.6 54.06
72 4.2 72.85
72 24.8 77.6
72 34.8 72.16
72 44.1 72.41
72 58.7 73.91
72 74.5 75.52
72 99.9 70.83
72 125 65.89
72 148.5 60.54
72 175.2 59.23
141 4.6 72.56
141 14.2 75.2
141 24.3 75.39
141 34.1 78.68
141 44.6 71.44
141 59 69.84
141 74.4 71.74
141 99.6 69.87
141 123.6 65.53
141 150.4 63.9
141 174.9 56.1
181 4 73.09
181 13.8 71.64
181 24.2 72.58
181 34.4 71.39
181 44.3 73.7
181 59.3 70.39
181 74.6 68.68
181 100.3 66.85
181 124.2 61.65
181 148.7 57.44
181 200 52.47
240 5.3 73.5
240 14.4 72.92
240 25.4 77.5
240 34.7 73.57
240 44.6 73.13
240 60.9 71.22
240 75.4 69.78
240 99.4 68.53
240 124.8 69.45
240 150.3 62.69
240 174.1 57.07
280 4.9 79.29
280 15 76.54
280 24.3 71.85
280 35 78.35
280 44.3 78.31
280 59.9 77.04
280 77.3 79.56
280 98.7 73.93
280 124.5 69.96
280 149.1 64.57
280 174.5 61.95
308 4.6 78.16
308 14.5 80.97
308 25.1 77.46
308 35.4 83.85
308 45.2 76.88
308 60.5 74.44
308 75.1 71.53
308 100.8 69
308 124.9 63.58
308 149.2 55.7
308 174.3 61.27
329 3.7 69.14
329 14.5 69.09
329 25.1 82.37
329 35.2 74.89
329 43.7 80.44
329 59.2 85.95
329 76.1 77.55
329 97.7 66.79
329 124.7 61.11
329 146.3 55.79
329 172.7 53.92
353 5 72.85
353 14.4 75.39
353 25 73.58
353 34.5 75.37
353 44.6 72.09
353 75.3 72.11
353 100.5 63.95
353 124.5 58.86
353 149.8 55.49
353 174.9 53.29
17 4.2 70.02
