"DOY" "Depth" "EUK"
57 74.2 0.018
57 99.2 0.014
57 126.6 0.023
57 152.8 0.01
57 172.6 0.005
88 9.6 0.017
88 24.6 0.018
88 45.2 0.015
88 74.1 0.02
88 101.5 0.016
88 125.5 0.022
88 151.7 0.006
88 174.9 0.001
114 4.3 0.01
114 23.8 0.012
114 44.5 0.008
114 74.5 0.018
114 99.2 0.022
114 124.6 0.028
114 148.8 0.011
114 177.2 0.005
141 5 0.017
141 24.4 0.016
141 44.6 0.024
141 74.4 0.021
141 100.3 0.042
141 123.9 0.018
141 149.9 0.005
171 4.7 0.009
171 23.4 0.012
171 44.6 0.01
171 74.4 0.018
171 99.2 0.02
171 124.3 0.016
171 148.6 0.007
171 176.1 0.003
201 4.9 0.009
201 24.2 0.007
201 45.5 0.011
201 75.1 0.011
201 99.9 0.009
201 125.2 0.014
201 149.8 0.01
201 175.4 0.002
233 5.5 0.013
233 25.7 0.017
233 44.1 0.014
233 74 0.015
233 101 0.012
233 129.6 0.014
233 147.8 0.007
233 173.9 0.002
288 4.5 0.009
288 26.9 0.009
288 45 0.009
288 74.6 0.01
288 100.5 0.013
288 123.7 0.011
288 149.1 0.002
288 177.3 0.001
314 10.5 0.01
314 25.5 0.017
314 45.5 0.008
314 75.4 0.015
314 103.6 0.01
314 129.3 0.013
314 144.9 0.007
314 176.3 0.001
354 10 0.013
354 25.1 0.014
354 45.4 0.009
354 74.5 0.01
354 100.6 0.017
354 125.7 0.013
354 149 0.004
56 25.1 0.009
56 43.7 0.019
56 74.4 0.009
56 97.9 0.019
56 123.6 0.002
56 149.9 0.001
56 177 0.001
80 6.7 0.016
80 24.4 0.014
80 44.8 0.028
80 73.9 0.022
80 100 0.028
80 123.8 0.016
80 148.7 0.005
80 174.5 0.004
112 3.9 0.012
112 23.1 0.009
112 44 0.01
112 73.4 0.014
112 98.5 0.015
112 123.6 0.013
112 148.3 0.005
112 174.1 0.002
140 4.7 0.01
140 24.2 0.009
140 44.5 0.012
140 74.3 0.013
140 99.1 0.011
140 124.6 0.021
140 149.5 0.007
140 174.8 0.002
168 4 0.01
168 24.3 0.012
168 44.3 0.02
168 74.3 0.012
168 99.5 0.016
168 124.4 0.011
168 149.2 0.005
168 174.8 0.002
230 5.2 0.01
230 24.6 0.009
230 45.6 0.03
230 74.6 0.013
230 99.1 0.033
230 124.4 0.009
230 149.3 0.004
230 175 0.001
273 4.8 0.009
273 24.8 0.014
273 44.3 0.035
273 73.9 0.023
273 99.6 0.01
273 125.6 0.009
273 149.3 0.006
273 175.5 0.002
305 5 0.01
305 25.4 0.01
305 46.5 0.012
305 74.7 0.009
305 99.5 0.016
305 125.6 0.013
305 150 0.006
305 176.4 0.002
333 4.8 0.008
333 25 0.009
333 44.9 0.017
333 76.1 0.012
333 99.3 0.014
333 124.6 0.009
333 150 0.003
356 5.1 0.019
356 24.3 0.02
356 44.9 0.026
356 76.1 0.031
356 100.6 0.019
356 124.8 0.003
33 5 0.007
33 25.1 0.014
33 44.9 0.025
33 74.5 0.013
33 100.3 0.005
33 125 0.004
64 5.5 0.013
64 25.1 0.015
64 44.4 0.018
64 75 0.016
64 99.6 0.014
64 125.3 0.007
64 150 0.002
139 13.4 0.01
139 25.9 0.01
139 43.2 0.01
139 75.9 0.008
139 99.8 0.008
139 124.4 0.015
139 149.7 0.006
139 175 0.006
166 13.5 0.013
166 24.9 0.013
166 43.7 0.016
166 75.2 0.011
166 99.5 0.034
166 125.1 0.013
166 149.8 0.002
166 175.5 0.002
198 4.9 0.007
198 25.4 0.006
198 45.3 0.007
198 75 0.009
198 100.6 0.009
198 125 0.021
198 150.1 0.009
198 174.8 0.002
226 4.8 0.008
226 24.9 0.008
226 45.5 0.005
226 75.3 0.008
226 100.1 0.005
226 125.1 0.007
226 150.1 0.008
226 175.8 0.004
253 5.7 0.004
253 23.9 0.007
253 44.8 0.008
253 76.1 0.005
253 98.1 0.009
253 123.5 0.004
253 149.4 0.003
253 174.3 0.002
282 8 0.007
282 25.2 0.005
282 45.8 0.006
282 75.3 0.007
282 100.2 0.013
282 125.4 0.009
282 151.3 0.003
282 174.1 0.001
316 9.2 0.009
316 24.5 0.008
316 43.5 0.009
316 73.6 0.008
316 99 0.015
316 123.8 0.01
316 148.8 0.005
316 174.7 0.004
347 5 0.007
347 25.2 0.006
347 44.5 0.008
347 75.8 0.005
347 100.8 0.009
347 125.1 0.011
347 149.2 0.006
347 178.7 0.002
25 7.7 0.013
25 24.7 0.014
25 46.9 0.012
25 74.8 0.013
25 100.4 0.013
25 125.2 0.016
25 149.8 0.01
25 175.7 0.003
46 10.3 0.013
46 24.6 0.013
46 45.3 0.013
46 73.9 0.02
46 100.4 0.008
46 125.3 0.003
46 149.8 0.001
46 177 0.001
69 5.4 0.017
69 24.5 0.014
69 46.2 0.013
69 75.5 0.017
69 99.7 0.009
69 123.1 0.009
69 150 0.007
69 173.6 0.002
92 6.2 0.01
92 25.5 0.009
92 45 0.006
92 75.6 0.022
92 100.5 0.021
92 124.3 0.008
92 149.7 0.003
92 176.3 0.002
147 7.3 0.009
147 26.5 0.008
147 46.4 0.01
147 76.3 0.023
147 101.2 0.025
147 124.6 0.012
147 150.4 0.005
147 176.2 0.002
165 8.2 0.009
165 25 0.009
165 46 0.01
165 76.1 0.009
165 100.9 0.01
165 124.9 0.019
165 150.9 0.01
165 176.6 0.001
194 6.9 0.008
194 26.3 0.033
194 45.4 0.017
194 75 0.01
194 100.7 0.011
194 125.5 0.005
194 149.8 0.002
194 174.5 0.002
221 25.8 0.001
221 60 0.001
221 89.8 0.001
221 115 0.002
221 150.5 0.001
221 164.5 0.001
259 6.3 0.004
259 26.3 0.003
259 46.1 0.01
259 75.6 0.012
259 100.8 0.01
259 125.3 0.013
259 150.4 0.005
259 175.7 0.001
294 8.7 0.003
294 25.3 0.003
294 45.1 0.001
294 74.5 0.001
294 101.4 0.007
294 126 0.009
294 151.6 0.007
294 173.6 0.002
313 6.9 0.005
313 25 0.008
313 45.5 0.007
313 76.1 0.005
313 100.8 0.009
313 124.8 0.012
313 150.1 0.003
313 175 0.001
344 9 0.006
344 23.7 0.005
344 44.6 0.005
344 75 0.004
344 101 0.011
344 125.7 0.007
344 175.6 0.001
38 5.1 0.01
38 24.6 0.006
38 45.2 0.008
38 75.5 0.009
38 100.8 0.008
38 123.4 0.001
80 4.4 0.008
80 25 0.008
80 75.1 0.017
80 99.7 0.034
80 124.2 0.004
80 149.7 0.002
125 7.4 0.013
125 25.9 0.012
125 44.5 0.013
125 75.3 0.011
125 100.2 0.009
125 125.3 0.015
125 149.6 0.008
125 174.5 0.002
189 6.8 0.005
189 24.8 0.007
189 45.3 0.008
189 75.9 0.006
189 99.8 0.01
189 124.8 0.009
189 149.7 0.004
189 175 0.002
216 7.9 0.005
216 25.2 0.006
216 44.9 0.004
216 75.9 0.004
216 100.1 0.003
216 125.4 0.007
216 149.9 0.011
216 175.3 0.005
246 6.6 0.005
246 25.8 0.004
246 46 0.004
246 75.9 0.006
246 100.5 0.007
246 125.4 0.011
246 150.5 0.002
246 176 0.002
275 4.5 0.007
275 24.8 0.005
275 44.3 0.012
275 75.7 0.006
275 99 0.005
275 126 0.011
275 149.7 0.003
275 176.9 0.001
335 8.8 0.009
335 24.7 0.008
335 44.9 0.007
335 74.9 0.01
335 99.4 0.024
335 126.3 0.006
354 5.8 0.023
354 24 0.022
