"DOY" "Depth" "SYN"
33 74.5 0.001
33 125 0.001
64 5.5 0.027
64 25.1 0.029
64 44.4 0.018
64 75 0.03
64 99.6 0.002
64 173.9 0.001
139 13.4 0.012
139 25.9 0.014
139 43.2 0.015
139 75.9 0.02
139 99.8 0.019
139 124.4 0.002
139 175 0.001
166 13.5 0.013
166 24.9 0.009
166 43.7 0.019
166 75.2 0.018
166 99.5 0.001
166 125.1 0.001
166 149.8 0.001
166 175.5 0.001
198 4.9 0.005
198 25.4 0.007
198 45.3 0.006
198 75 0.011
198 100.6 0.009
198 125 0.001
198 174.8 0.001
226 4.8 0.007
226 24.9 0.007
226 45.5 0.009
226 75.3 0.014
226 100.1 0.015
226 125.1 0.002
253 5.7 0.006
253 23.9 0.007
253 44.8 0.011
253 76.1 0.012
253 98.1 0.004
253 123.5 0.001
253 149.4 0.001
253 174.3 0.001
282 8 0.01
282 25.2 0.012
282 45.8 0.011
282 75.3 0.019
282 100.2 0.004
282 125.4 0.001
282 151.3 0.001
282 174.1 0.004
316 9.2 0.008
316 24.5 0.009
316 43.5 0.001
316 73.6 0.008
316 99 0.001
347 5 0.007
347 25.2 0.009
347 44.5 0.01
347 75.8 0.013
347 100.8 0.007
25 7.7 0.037
25 24.7 0.037
25 46.9 0.032
25 74.8 0.033
25 100.4 0.029
25 125.2 0.035
25 149.8 0.012
46 10.3 0.048
46 24.6 0.046
46 45.3 0.047
46 73.9 0.011
69 5.4 0.037
69 24.5 0.029
69 46.2 0.039
69 75.5 0.033
69 99.7 0.029
69 123.1 0.019
69 150 0.001
92 6.2 0.045
92 25.5 0.061
92 45 0.051
92 75.6 0.031
92 100.5 0.014
92 124.3 0.007
92 149.7 0.002
147 7.3 0.014
147 26.5 0.021
147 46.4 0.013
147 76.3 0.004
165 8.2 0.017
165 25 0.024
165 46 0.024
165 76.1 0.019
165 100.9 0.021
165 124.9 0.002
194 6.9 0.014
194 26.3 0.014
194 45.4 0.011
194 75 0.024
194 100.7 0.003
221 7.5 0.007
221 25.8 0.008
221 60 0.019
221 89.8 0.024
221 115 0.006
259 6.3 0.011
259 26.3 0.012
259 46.1 0.017
259 75.6 0.046
