"DOY" "Depth" "C2N"
109 74.6 6.29850746268658
109 99.6 5.69965870307168
109 124.2 5.87030716723551
109 134.3 6.38297872340424
109 150.5 7.32876712328768
109 174.9 7.47252747252746
139 4.4 7.19745222929937
139 24.8 7.85488958990537
139 45 7.96178343949045
139 74.3 8.08823529411762
139 99.2 7.46835443037973
139 104.7 6.87500000000002
139 129.8 6.09561752988049
139 149.4 7.00598802395208
139 175.5 6.66666666666667
139 248.8 8.92857142857143
170 4.7 6.02985074626865
170 25.4 6.00550964187328
170 44.9 5.80901856763926
170 74.5 6.0136674259681
170 99.3 5.51569506726458
170 124.7 5.58641975308643
170 140.2 5.66037735849056
170 149.3 5.88516746411483
170 160.5 6.10778443113774
170 176.2 6.47482014388491
200 4.3 6.98830409356727
200 24.1 7.16417910447763
200 45.5 7.08641975308643
200 74.3 7.25641025641025
200 99.6 6.48936170212765
200 124.5 5.77519379844963
200 149.5 6.1494252873563
200 175.2 7.1223021582734
232 5 8.09999999999999
232 24.6 7.96296296296298
232 44.7 7.95321637426901
232 74.5 7.77358490566038
232 89.9 7.50000000000002
232 99.7 7.24014336917563
232 109.6 7.39910313901346
232 119.4 7.2972972972973
232 130.1 8.31250000000002
232 149.2 6.96428571428569
232 175 7.69230769230769
292 3.9 7.92682926829269
292 23.7 6.37462235649547
292 43.4 6.56716417910449
292 74.5 5.63517915309446
292 99.6 5.35849056603774
292 109.1 5.82914572864322
292 124 5.74712643678161
292 149.4 6.96428571428569
292 175 6.26373626373625
292 249 6.62337662337661
292 4.1 6.83333333333334
292 24.7 6.70212765957448
292 44.6 6.77524429967426
292 73.6 6.25730994152045
292 98.4 5.97633136094676
292 124.5 6.03375527426159
292 150.1 7.2549019607843
292 175.1 6.34920634920635
353 4.1 12.4550898203593
353 23.9 12.03125
353 44.3 12.814371257485
353 74.7 10.8717948717949
353 100 11.0674157303371
353 124.1 14.6153846153846
19 5 7.42738589211618
19 24.8 8.04780876494026
19 44.6 6.78260869565219
19 74.4 7.02508960573478
19 101.2 6.51282051282052
19 125.1 5.07575757575758
19 149.7 6.83673469387755
19 174 5.95238095238095
19 249.8 6.34920634920635
50 5.2 6.49056603773587
50 25.3 7.08955223880599
50 44.1 5.44585987261147
50 74.5 7.39130434782608
50 99.8 6.52329749103944
50 115.3 5.38461538461538
50 119.6 5.93023255813954
50 124.1 5.39130434782609
50 150.1 6.25
50 174.6 6.73202614379087
78 4.5 7.2573839662447
78 24.4 7.10000000000001
78 44.7 7.22580645161291
78 74.7 7.20588235294116
78 99.5 6.68032786885247
78 119.6 6.5359477124183
78 149.5 6.78571428571427
78 174.8 7.73809523809525
78 249.7 7.32142857142855
110 25.4 6.36963696369636
110 75.3 5.70149253731343
110 99.6 4.52247191011236
110 125.3 3.75527426160337
110 150.7 4.6031746031746
110 176.2 4.64285714285715
139 4.2 7.51196172248805
139 24.2 6.87296416938109
139 44.9 7.06093189964155
139 74.5 8.02690582959642
139 99.3 6.17021276595746
139 124.9 6.89814814814816
139 150.2 6.60714285714287
139 174.7 5.91836734693879
170 4.7 6.91756272401434
170 25 6.64634146341465
170 45 6.86006825938566
170 75 6.94704049844238
170 100 6.65615141955834
170 139.4 4.688995215311
170 148.8 5.71428571428571
170 175.8 5.89285714285713
170 249.3 6.57142857142858
171 125.1 5.7643312101911
201 24.5 8.5658914728682
201 44.4 7.7215189873418
201 74.2 7.0955882352941
201 99.8 5.99999999999999
201 150 6.14754098360654
201 174.2 4.5049504950495
201 249.4 5.62499999999999
231 4.1 6.63911845730028
231 25.2 6.97050938337804
231 45.6 6.68407310704961
231 74.9 6.69590643274853
231 100.2 6.13026819923372
231 125.3 7.57575757575758
231 150.3 6.78571428571427
231 175.1 6.75324675324676
231 249.4 7.14285714285714
262 5 8.08988764044945
262 24.3 5.5300859598854
262 44 5.33333333333333
262 74.8 6.03406326034063
262 99.6 5.32637075718015
262 126.5 4.60365853658536
262 151.5 5.48717948717948
262 175 4.6031746031746
353 4.9 4.2051282051282
353 25.5 3.90862944162436
353 43.6 4.18338108882521
353 75.3 4.56756756756756
353 100.2 4.28198433420365
353 125.2 3.77049180327869
353 149.4 4.53237410071942
353 176 4.68253968253969
353 250 4.28571428571429
19 5.4 6.45161290322581
19 25 6.6804979253112
19 47.1 6.61764705882353
19 101 6.15094339622643
19 125.3 6.1878453038674
19 151.8 6.05042016806722
19 174.6 6.49350649350649
19 75.2 6.8354430379747
50 5.1 8.30434782608697
50 25.2 7.06666666666667
50 45.3 7.35849056603773
50 74.8 7.73913043478263
50 99.7 7.35973597359738
50 125.3 7.26618705035969
50 149.4 7.14285714285714
