"DOY" "Depth" "DIP"
345 75 0.115142680704594
345 80 0.130024926736951
345 85 0.141680411994457
345 90 0.153076441958547
345 95 0.169467508792877
345 105 0.161284599453211
345 125 0.114524910226464
345 150 0.245515119284391
345 175 0.0676943473517895
345 200 0.431751221418381
345 225 0.407739453017712
345 250 0.200946729630232
