"DOY" "Depth" "DIP"
46 204.8 0.14
46 5.6 0.0273
46 29.9 0.0322
46 37.6 0.0332
46 63.9 0.0332
46 77.3 0.0342
46 85 0.12
46 92.5 0.0332
107 19 0.08
107 83.7 0.08
160 19.4 0.1
160 113.9 0.1
161 10.1 0.1
161 30 0.1
161 48.1 0.08
161 80.2 0.08
161 87.2 0.1
161 119.2 0.12
161 126.4 0.16
161 174.9 0.34
161 203.3 0.62
161 226.7 0.69
161 4.6 0.0869
161 14.6 0.0674
161 24.7 0.0713
161 34.6 0.0576
161 44.8 0.0234
161 59.6 0.0361
161 74.9 0.09
161 84.9 0.0576
161 94.9 0.0801
161 103.9 0.12
161 113.4 0.1084
161 124.5 0.1269
161 135.9 0.17
161 148.3 0.248
161 175.1 0.4258
161 202.8 0.6193
186 11.5 0.1
186 87.4 0.09
186 51.7 0.07
186 61.5 0.08
186 112.6 0.08
186 163.8 0.21
186 231.1 0.22
187 228.4 0.28
187 8.6 0.0166
187 8.7 0.06
187 17.3 0.0195
187 28.4 0.0254
187 38.4 0.0049
187 48.5 0.0059
187 63.5 0.04
187 78.1 0.04
187 87.2 0.05
187 97.5 0.05
187 108.5 0.05
187 118.1 0.07
187 129.3 0.0518
187 139 0.11
187 153.9 0.12
187 178.1 0.164
187 200.2 0.2158
218 84.8 0.05
219 44.1 0.02
219 66.2 0.02
219 103.2 0.03
219 107 0.04
219 152.9 0.23
219 225 0.44
219 109 0.05
219 128.8 0.1406
219 138.1 0.14
219 153.5 0.21
219 178.8 0.2559
219 204.5 0.3086
219 231.4 0.45
219 9.9 0.1055
219 10 0.1084
219 31.1 0.1143
219 31 0.0938
219 40.3 0.0947
219 49.3 0.0791
219 64.8 0.082
219 80.1 0.07
219 92.1 0.06
20 8.9 0.05
20 34.5 0.05
20 53.9 0.05
20 101.7 0.04
20 105.5 0.05
20 146.7 0.11
20 229.1 0.25
20 135.1 0.1719
20 149.7 0.2158
20 160.5 0.17
20 173.8 0.2402
20 198.1 0.2
20 198.1 0.3701
20 209.9 0.29
20 226.2 0.37
20 233.5 0.39
20 249.3 0.41
20 9.1 0.0469
20 24.7 0.0439
20 35.6 0.0352
20 45.3 0.0352
20 75.5 0.0352
20 86.1 0.043
20 95.3 0.04
20 104 0.04
20 130.4 0.0439
47 7.7 0.06
47 15.7 0.07
47 25.8 0.06
47 50.7 0.06
47 95.4 0.1
47 100.4 0.12
47 110.5 0.19
47 144.5 0.21
47 225.4 0.38
48 224.3 0.47
48 234.5 0.5
48 249.5 0.58
48 5.1 0.0811
48 14.9 0.083
48 24.3 0.0762
48 35.5 0.0752
48 45.4 0.0781
48 58.7 0.0957
48 74.3 0.0967
48 84.6 0.084
48 94.6 0.1133
48 104.7 0.1621
48 114.5 0.207
48 124.5 0.2646
48 137 0.2803
48 151.5 0.3311
48 175.4 0.4112
48 203.8 0.4845
103 11.2 0.06
103 191.9 0.18
104 5.9 0.05
104 57.3 0.04
104 158 0.15
104 175.1 0.16
104 181.4 0.18
104 197.8 0.2
104 218.9 0.29
104 3.8 0.0742
104 15 0.0703
104 26 0.0654
104 34.9 0.0645
104 44.4 0.083
104 60.2 0.04
104 75.5 0.0664
104 85.4 0.04
104 95.9 0.05
104 104.9 0.0645
104 115 0.07
104 125 0.1084
104 134.9 0.1
104 150.4 0.1025
104 176.2 0.1142
104 196.2 0.1728
104 208.9 0.21
104 223.4 0.26
104 104.2 0.04
104 148.1 0.08
104 179 0.09
104 224.9 0.23
104 234.8 0.28
104 248.6 0.34
140 5.5 0.04
140 78.9 0.08
140 177.9 0.13
140 14.7 0.02
140 50.5 0.03
140 98.8 0.02
140 162.2 0.1
140 185.2 0.09
140 210.2 0.15
140 236.5 0.23
140 226.5 0.27
141 6.5 0.0264
141 14.8 0.0244
141 24.5 0.0264
141 34.9 0.0283
141 45 0.0332
