"DOY" "Depth" "POP"
46 252.8 2.2
46 338.7 1.6
46 339.4 1.6
80 4.4 9.5
80 25.2 12.9
80 45.5 17.3
80 75.4 12
80 99.8 9.1
80 124.9 12.3
80 149.9 8.8
80 175.7 5.7
80 198.9 3.2
80 249.9 3.2
80 350.5 2.5
80 350.3 2.2
108 3.5 14.5
108 25.1 12.3
108 45.1 10.1
108 74.8 9.1
108 98.9 12
108 123.2 10.1
108 147.9 10.1
108 173.4 7.9
108 199.1 5
108 249 2.5
108 349.3 3.2
108 349.4 3.2
137 4.5 20.5
137 25.4 17.7
137 44 16.1
137 74.4 14.2
137 99.4 7.6
137 124.6 10.4
137 149.7 5
137 175.1 4.1
137 199.7 2.2
137 249.3 2.2
137 349.7 1.9
137 349.7 1.6
165 23.9 9.5
165 44 12
165 73.9 11.7
165 100 11.3
165 124 7.6
165 148 2.8
165 173.3 3.2
165 198.8 2.8
165 250.5 3.2
165 352.3 0.6
165 352.2 1.3
192 24.3 14.8
192 44.2 16.4
192 74.1 12.9
192 99 15.1
192 124.4 8.5
192 150.3 3.5
192 174 5.4
192 198.6 3.2
192 252.4 2.2
192 355.1 1.6
192 354.4 2.8
221 4 20.2
221 24.1 20.5
221 44.6 13.2
221 74.3 15.8
221 99.4 15.4
221 124.4 7.6
221 149.2 6.6
221 174.4 3.5
221 200.5 3.8
221 248.8 3.8
221 349.9 1.3
221 349.6 2.2
275 5.1 19.2
275 24.4 17.7
275 45 20.5
275 76.3 18
275 101.1 15.4
275 124.8 9.5
275 148.2 6.9
275 171.8 5
275 198.7 4.4
275 251 3.2
275 348.4 2.5
275 348.5 2.8
296 5.7 21.4
296 26.4 23
296 46.5 24.3
296 75.2 19.5
296 99.8 14.2
296 125.8 9.5
296 150.1 6
296 175.4 3.8
296 202.9 2.2
296 251.3 3.8
296 353.1 3.5
296 352.4 3.8
321 4.1 21.4
321 25.8 22.1
321 45.2 20.5
321 73.6 16.7
321 100.7 11.3
321 124 8.8
321 148.9 6.3
321 174.7 5.4
321 201.8 5.4
321 250.2 3.8
321 351.9 3.5
321 351.2 2.8
349 4.3 14.5
349 26.1 14.2
349 44.6 14.2
349 75.7 14.5
349 99.7 13.6
349 125.7 5.4
349 148.8 5.4
349 176.3 4.1
349 199.4 3.2
349 250.9 3.5
349 350.1 2.8
349 350.2 2.2
16 4.5 11.3
16 24.7 15.1
16 44 16.7
16 99.4 8.5
16 125.3 9.1
16 149.9 5.7
16 173.8 5.4
16 197.4 4.1
16 249.8 1.9
16 349.8 2.5
16 350 3.2
52 5.4 14.2
52 24.8 11.7
52 44.2 12
52 75.2 12
52 100.7 12.3
52 124.6 9.1
52 149.9 6
52 174 4.7
52 200.3 3.8
52 250.6 2.8
52 351 1.9
52 350.3 2.8
72 4.1 12
72 25.4 13.2
72 45.2 13.9
72 74.5 11
72 99.4 11
72 124.3 10.4
72 149.6 7.6
72 174 5.4
72 200.4 3.8
72 249.8 3.5
72 350.6 2.2
72 350.3 3.2
141 4.6 6.9
141 24.7 9.5
141 44.4 12
141 74.3 8.2
141 99.9 9.1
141 124.2 10.1
141 144.6 6.9
141 175.6 4.1
141 201.6 3.2
141 247.6 2.2
141 350.6 1.3
141 350 2.2
181 3.8 11
181 24.1 10.7
181 44.9 12.3
181 73.6 8.5
181 99.6 6.6
181 123.9 4.7
181 148.9 3.2
181 174 5.4
181 199.9 2.5
180 250.6 1.9
180 349.7 1.3
180 349.6 1.9
240 4.2 12
240 25.7 12.6
240 44.1 8.2
240 74.7 11
240 100 10.7
240 126 8.2
240 150.1 3.8
240 175.4 3.2
240 200.5 4.1
240 249.8 1.9
240 350.1 1.6
240 350.2 2.2
280 5.5 12
280 25.2 13.2
280 44.9 10.4
280 74.7 8.5
280 99.1 7.9
280 126.1 5.7
280 149.8 4.4
280 176 1.9
280 199.6 4.7
280 248.9 2.5
280 350.1 1.6
280 350.1 1.3
308 4.5 14.2
308 24.9 18.9
308 45.1 16.1
308 75.2 9.1
308 99.9 10.7
308 124.5 6.9
308 149.7 6
308 175.3 3.2
308 200.1 3.8
308 249.6 3.5
308 350.5 1.9
308 350.3 2.2
329 8.8 12
329 44.2 13.9
329 74.5 12.9
329 99.3 7.9
329 124.1 5.7
329 149.7 3.5
329 174 3.8
329 199.3 3.2
329 250 2.2
329 352.4 1.9
353 5.6 11.7
353 25.4 12
353 45.5 13.6
353 74.8 9.1
353 100.6 9.8
353 124.5 9.1
353 150 6
353 174.8 5
353 198.5 4.1
353 250 3.2
353 351.3 2.5
353 351.2 1.9
17 4.4 12.6
17 23.2 9.5
17 44.7 10.1
17 75.8 15.8
17 99.4 14.8
17 125.4 9.8
17 174.9 3.2
17 199.3 4.4
17 251.5 1.9
17 349.5 1.9
17 349.6 2.5
17 148.8 4.7
57 4.8 14.2
57 23.6 24.9
57 44.7 12.6
57 72.8 13.2
57 99.3 8.2
57 122.3 13.2
57 149.2 9.1
57 174.5 6
57 199 4.1
57 248.6 3.5
57 349.6 2.5
57 349.5 2.8
88 10.9 9.8
88 25.8 10.7
88 45 14.2
88 75.8 5
88 100.2 9.1
88 125.7 6.6
88 150.8 6
88 174.8 2.8
88 198.9 2.5
88 250.1 2.2
88 349.3 1.9
88 349.1 1.9
114 4.8 11.4
114 23.7 11
114 44 13.2
114 76.4 11.3
114 98.3 9.1
114 122 8.8
114 146.8 4.1
114 171.9 3.8
114 197.6 1.3
114 248.9 1.6
114 349.8 1.3
114 349.6 1.9
141 3.9 12.9
141 24.4 8.5
141 44.8 9.8
141 73.4 6.9
141 101.3 7.3
141 122.7 8.8
141 148.1 6.6
141 174.1 3.5
141 200.1 3.2
141 248.8 2.8
141 349.7 1.3
141 349.7 1.3
171 4.2 9.5
171 24.4 8.5
171 44.8 9.8
171 74.8 12
171 100.5 11.3
171 125.4 9.1
171 149.4 6.3
171 175 4.4
171 199.4 3.8
171 249.5 4.7
171 348.9 2.2
171 348.9 2.2
201 4.2 15.1
201 24.2 17
201 45.3 22.1
201 73.3 15.1
201 98 10.1
201 124.2 7.9
201 150 6.6
201 176.9 4.7
201 201.8 3.2
201 249 2.8
201 351.3 2.2
201 350.6 1.3
233 5.3 6.9
233 25.8 13.9
233 43.4 8.8
233 73.4 7.3
233 99.8 20.2
233 126.8 12
233 150.8 4.4
233 173.1 5.4
233 199.3 4.1
233 249.7 3.2
233 349.5 2.2
233 349.3 2.5
288 5.3 14.5
288 25.9 14.2
288 44.6 15.1
288 76.5 7.6
288 100.8 10.7
288 124.8 6
288 150.9 6.3
288 175.9 5
288 201.5 4.1
288 252 3.5
288 349.4 2.2
288 349.5 2.8
314 7.7 14.5
314 23.9 11.7
314 45.6 15.4
314 78.5 13.9
314 96.8 11.3
314 124.3 7.9
314 151.5 6.3
314 174.2 4.7
314 199.7 4.1
314 252.6 4.1
314 351 2.2
314 350.9 2.2
354 5.5 12.9
354 24.2 10.4
354 44.1 9.8
354 75.2 11.3
354 97.7 6
354 125.9 6.6
354 150.5 5
354 173.9 4.1
354 200.5 3.5
354 251 3.8
354 352.4 2.2
354 352.2 3.5
22 3.9 10.7
22 24 10.7
