"DOY" "Depth" "TIN"
78 126.9 0.02
78 137.2 0.2
78 151.7 1.01
78 177.8 2.91
78 203.7 5.36
78 213.8 5.37
78 239.4 7.42
78 256.3 9.49
78 303.7 17.4
78 331.4 17.94
78 355.6 15.79
78 407.8 22.36
78 502.3 33.12
78 604.3 39.09
78 708.9 41.59
78 805.3 42.19
78 805.3 42.19
78 1012.9 42.19
78 45.3 0.02
78 99 0.04
78 110 0.05
102 1117.9 41.89
102 1117.9 42.07
102 1213.7 41.83
102 1310 41.72
102 1413.5 41.6
102 1519.5 41.24
102 1624.5 41
102 1722.7 40.88
102 1822.9 40.65
102 2028.5 40.17
102 2242.7 39.46
102 2408.9 39.09
102 2631.9 38.51
102 2841.7 38.15
102 3044.8 37.91
102 3244.4 37.43
102 3447.2 37.2
102 3613.4 36.84
102 3827 36.37
102 4035.2 36.25
102 4215.3 36.01
102 4433.5 35.95
102 4606.1 36.01
102 4723 35.66
102 1.2 0.02
102 11.8 0.02
102 56.8 0.02
102 153.7 0.1
102 169.2 0.07
102 204.8 1.78
102 266.3 9.53
102 317.3 15.95
102 317.3 15.95
102 332.8 19.45
102 358.3 15.95
102 421.8 24.98
102 450.1 27.24
102 486.2 29.85
102 522.5 33.77
102 584.1 36.98
102 635.3 38.76
102 707.1 40.89
102 719.1 41.13
102 873.3 42.07
102 873.3 41.95
102 962.1 42.07
102 1043 41.83
103 137 0.07
103 152.2 0.26
103 162.4 0.45
103 178.8 0.93
103 190.6 1.14
103 207 1.11
103 214.8 0.64
103 231.2 2.35
103 255.9 4.18
103 255.9 4.18
103 308.5 14.35
103 308.5 14.4
103 333.8 15.95
103 356.8 19.15
103 408 21.05
103 511.1 32.05
103 716.9 41.13
103 716.9 41.3
103 819.8 42.07
103 921.9 42.2
103 25.7 0.02
103 36.9 0.05
103 45.9 0.02
103 61.8 0.02
128 999.5 42.32
128 1101.1 42.32
128 1252 42.19
128 1398.6 41.93
128 1551.4 41.53
128 1702.8 41.14
128 1849.7 40.75
128 1999.4 40.41
128 2154.6 40.09
128 2302.1 39.83
128 2445.9 39.3
128 2598.4 38.91
128 2798.6 38.65
128 2998.2 38.38
128 3195.5 37.99
128 3401 37.46
128 3601.8 37.2
128 3801.3 36.88
128 4004.2 36.67
128 4199.9 36.54
128 4403.9 36.41
128 4626.9 36.28
128 33.1 0.01
128 72.3 0.04
128 149.5 1.8
128 219.2 5.89
128 310.4 11.18
128 374.6 16.07
128 429.7 23.16
128 481.9 29.33
128 525.1 33.14
128 571.2 36.95
128 621.5 39.58
128 690.6 41.02
128 742.8 41.94
128 856.4 42.59
128 1014.5 42.46
129 6.2 0.01
129 26.9 0.01
129 36.8 0.01
129 87.4 0.01
129 106.8 0.01
129 118 0.01
129 129.9 0.2
129 137 0.69
129 154.4 1.24
129 182.3 2.7
129 209 3.66
129 1033.6 42.46
129 228.5 5.42
129 253.3 6.34
129 282.8 8.71
129 307.1 10.39
129 331.4 11.86
129 357.3 14.75
129 447.5 25.08
129 507.2 32.09
129 609.1 39.44
129 706.7 41.02
129 807.5 42.13
163 1009.9 42.02
163 1113.4 41.89
163 1258.7 41.77
163 1406.5 41.52
163 1470.7 41.52
163 1700.2 40.88
163 1849.1 40.26
163 1999.8 40.01
163 2201.2 39.51
163 2398.9 39.13
163 2606.4 38.63
163 2803.1 38.38
163 2991 38
163 3189.3 37.5
163 3377 37.12
163 3595.2 36.75
163 3799.2 36.44
163 3998.5 36.25
163 4196.8 36.12
163 4403.4 36
163 4495.5 35.87
163 4597.9 36
163 13 0.05
163 115.8 0.38
163 154 1.41
163 194.7 1.46
163 217.4 3.08
163 264.1 5.24
163 309.2 7.75
163 354.1 15.07
163 385 18.46
163 424.9 21.71
163 493.9 28.99
163 536.4 32.75
163 578 36.38
163 607.1 38.27
163 664.6 40.4
163 738.1 41.77
163 754.1 41.77
163 823.4 42.15
163 912.4 42.15
163 1032.6 42.15
164 45.6 0.03
164 127.1 0.43
164 137.2 0.53
164 154.2 0.75
164 181.8 1.93
164 207.5 3.03
164 230.2 4.48
164 257.6 4.77
164 281.9 6.16
164 308.2 9.12
164 333.9 15.77
164 361.6 18.46
164 405.6 20.21
164 508.2 30.12
164 610 38.14
164 711.2 41.27
164 811.8 42.09
164 916.8 42.02
164 1033.8 42.02
205 901.4 41.94
205 1001.5 41.82
205 1101.8 41.81
205 1251.3 41.81
205 1401.7 41.18
205 1550.1 41.05
205 1702.7 40.54
205 1851.7 40.29
205 2000.6 39.92
205 2203.2 39.66
205 2601.7 38.65
205 2801.2 38.39
205 2999.4 37.76
205 3193.5 37.37
205 3401 37.25
205 3584.1 36.74
205 3805.1 36.37
205 3999.4 36.24
205 4199 35.99
205 4392.4 35.86
205 4498.2 35.73
206 27.5 0.03
206 117.7 0.4
206 155.9 1.7
206 223.5 3.64
206 305.6 13.95
205 357 16.11
205 420.5 22.19
205 481 28.4
205 589.2 36.76
205 633.9 39.29
205 687.6 40.93
205 757.5 41.69
205 838.1 41.94
205 894.8 42.07
205 991.6 41.82
205 1019.2 41.88
206 231.6 4.84
206 254.9 6.81
206 282.2 10.03
206 307.3 12.41
206 333.1 13.57
206 357.4 16.24
206 406.4 19.79
206 507.6 29.8
206 612.3 37.01
206 710.8 40.75
206 813.2 41.95
206 910.7 41.44
206 1016.8 41.82
206 108.1 0.03
206 117.5 0.13
206 137.5 1.51
206 153.4 2.15
206 164.7 1.21
206 181.6 2.22
206 207.8 3.14
351 10.1 0.02
351 84.8 0.02
351 97.6 0.09
351 103.7 0.39
351 150.5 1.96
351 174.2 2.92
351 223.7 5.52
351 309.1 11.54
351 383 15.08
351 431.6 20.8
351 496.6 28.33
351 531.3 31.88
351 571.7 34.96
351 616.1 37.7
351 680 39.75
351 720.3 40.67
351 754.7 41.01
351 844.5 41.81
351 990.3 42.03
352 118.8 0.49
352 129.9 0.75
352 139.3 1.35
352 166.3 2.35
352 191.8 3.28
352 241.2 6.01
352 255.2 6.97
352 281 8.81
352 308.7 11.42
352 333.4 12.68
352 359.1 14.28
352 512.6 28.91
352 613.2 37.24
352 711.6 40.43
352 800 41.46
352 907.7 41.81
352 1015 41.91
352 27 0.02
352 96.2 0.01
352 106.2 0.05
352 116.6 0.29
352 128 1.7
352 512 29.13
352 1024.5 41.81
353 550.2 32.56
353 1005.5 41.81
353 1200.8 41.69
353 1401.5 41.45
353 1601.6 41
353 2006.1 40.08
353 2411.9 38.94
353 2604.4 38.37
353 2817.7 38.09
353 3016.6 37.57
353 3218.4 37.35
353 3404.3 36.77
353 3603.5 36.31
353 3806.4 35.86
353 3987.8 35.63
353 4179.1 35.63
353 4475.6 35.86
353 4685.7 35.86
34 119.4 0.54
34 553.8 33.39
33 1021.1 42.04
33 1214.2 41.23
33 1420.1 41.09
33 1615.4 40.28
33 1817.9 40.28
33 2037.5 40
33 2168.3 39.19
33 2400.7 39.06
33 2606.7 38.52
33 2810.7 38.11
33 3010.3 37.78
33 3188.8 37.03
33 3400.4 36.62
33 3588.2 36.36
33 3789.4 36.49
33 3999.3 36.36
33 4173 36.22
33 4395.8 36.02
33 4519.8 35.95
33 4638.3 35.67
34 138.4 0.89
34 209.2 3.4
34 243.4 5.22
34 342.4 10.82
34 374.5 12.87
34 407.8 14.74
34 424.6 17.31
34 470.1 24.61
34 531.2 31.37
34 585.1 35.83
34 642.3 38.26
34 708 40.15
34 756.5 41.1
34 793.4 41.23
34 817.6 41.1
34 855.3 40.96
34 889.3 40.96
34 997.4 41.09
34 1066.6 41.97
34 118.2 0.03
34 128.5 0.06
34 139 1.04
34 154.8 1.41
34 182.3 2.22
34 209.8 4.37
34 229.1 6.7
34 259.5 8.52
34 283.6 9.46
34 310 10.51
34 339.5 12.12
34 357 13.79
34 410.3 15.96
34 493.9 25.96
34 612.3 37.19
34 702.3 40.96
34 810 41.84
34 902.5 41.63
34 984.2 41.49
65 117.6 0.06
65 126.5 0.25
65 139.2 0.65
65 153.9 1.49
65 203.7 3.98
66 171.7 2.78
66 255.1 7.46
66 278.8 10.04
66 305.4 11.76
66 333.8 14.01
66 353.9 14.9
66 397.9 19.81
66 505.3 30.72
66 713.3 41.2
66 810.6 41.97
66 909 41.76
66 1058.4 41.76
67 72.9 0.06
67 101.7 0.23
67 124.6 0.69
67 139.5 1.35
67 147.6 2.81
67 156 2.15
67 179.9 2.18
67 406.1 20.09
67 504.9 30.5
67 765.9 41.33
67 1019.3 41.62
67 1498.9 40.61
67 2015.7 39.68
67 2504.9 38.89
67 4006.8 36.73
67 4543.2 35.8
99 351 14.31
99 826.1 41.54
99 1104.1 41.3
99 1257.7 41.17
99 1406.5 40.8
99 1555.6 40.55
99 1705 40.06
99 1855.7 39.81
99 2204.1 39.08
99 2405.3 38.58
99 2598.5 38.09
99 2801.3 37.47
99 3005.7 36.92
99 3209.7 36.6
99 3405.3 36.36
99 3606.2 36.11
99 3798.9 35.87
99 3995.8 35.81
99 4201.6 35.62
99 4402.6 35.5
99 4603.8 35.5
99 4726.5 35.56
99 92.1 0.03
99 108.3 0.13
99 163.7 1.21
99 187 2.22
99 245.7 4.07
99 371.6 14.67
99 386.5 16.12
99 431.6 20.35
99 504.8 28.98
99 539.6 32.11
99 628.9 37.11
99 648.5 38.34
99 668.4 39.09
99 688.3 40.07
99 820.6 41.42
99 893.7 41.79
99 982.2 41.79
99 1039.4 41.6
100 230.6 4.79
100 257.3 7.05
100 284.2 9.6
100 308.5 11.59
100 334.4 13.94
100 359.4 16.27
100 411.2 21.89
100 508.1 31.94
100 610.6 37.85
100 710.1 41.18
100 808.7 41.42
100 911.6 41.67
100 1038.4 41.67
100 88.9 0.1
100 98.6 0.14
100 108.2 0.6
100 119.6 0.79
100 130.3 1.21
100 157.1 2.04
100 181.3 2.34
100 209.7 3.12
127 1208.7 41.54
127 1402.8 41.41
127 1501.8 41.3
127 1706.2 40.8
127 1804.2 40.55
127 2004.2 40.38
127 2203.3 39.94
127 2401.7 39.56
127 2602.8 38.7
127 2806.4 38.09
127 3006 37.84
127 3202.5 37.35
127 3403.2 37.1
127 3602.5 36.73
127 3803.9 36.6
127 4000.6 36.36
127 4200.7 36.24
127 4402.6 36.11
127 4500.2 35.99
127 4602.4 35.99
127 4706.5 35.87
128 148 0.14
128 207.6 3.55
128 230.6 4.81
128 328.4 12.31
128 410.5 18.37
128 431.4 20.84
128 518.3 29.6
128 543.5 31.81
128 597 36.07
128 633.1 37.73
128 694 39.7
128 741.4 40.93
128 771.7 41.3
128 812.2 41.92
128 830.1 41.79
128 892.4 41.91
128 992.1 41.95
128 215.4 3.97
128 241.5 5.62
128 255.9 6.49
128 281.6 8.25
128 306.8 11.46
128 331.2 12.45
128 361.5 14.67
128 410.6 19.85
128 511 29.1
128 812.8 41.92
128 910.2 42.04
128 1029.3 42.17
128 18.3 0.03
128 26.4 0.03
128 165.4 0.44
128 188.5 2.02
155 386.2 14.6
155 837.3 40.96
155 1103.8 41.94
155 1253.7 41.57
155 1405.4 41.32
155 1551.6 40.95
155 1700.9 40.45
155 1856.5 39.84
155 2007.3 39.59
155 2210 39.22
155 2411.3 38.85
155 2606.3 38.35
155 2808 37.61
155 3006.8 37.46
155 3206.2 36.99
155 3404.1 36.62
155 3595.9 36.37
155 3794.7 36.25
155 4000.2 36.12
155 4202 36
155 4406.2 35.75
155 4605.6 35.75
155 4775.7 35.58
155 104.4 0.03
155 152.4 1.13
155 157 1.44
155 226.7 3.81
155 311.3 10.46
155 402.2 16.46
155 443.9 21.54
155 509.1 29.33
155 530.1 31.56
155 544.4 33.17
155 594.8 36.27
155 629.1 37.5
155 683.9 39.48
155 766 40.72
155 800 41.09
155 915.9 42.07
155 987.5 41.94
155 1032 41.7
156 232 4.7
156 255.4 6.49
156 279.9 9.04
156 312.3 11.01
156 412.7 18.81
156 504.1 26.61
156 598 34.78
156 704.6 38.98
156 812.9 40.9
156 1050.1 41.57
156 16.2 0.03
156 120.2 0.03
156 130.2 0.13
156 139 0.27
156 169.5 1.52
156 194.1 1.98
156 210 3.2
190 1207.1 41.32
190 1405.7 40.94
190 1606.1 40.56
190 2007.5 39.81
190 2204.9 39.35
190 2399.2 38.67
190 2604.9 38.3
190 2799 37.8
190 3003.2 37.17
190 3203.6 36.76
190 3405.7 36.54
190 3805.7 35.92
190 4005 35.66
190 4402.7 35.66
190 4503.5 35.61
190 4606.2 35.41
190 4758.2 35.28
190 4758.2 35.28
190 110.1 0.03
190 143.4 0.35
190 186 1.3
190 244.2 4.62
190 315.9 10.68
