"DOY" "Depth" "PON"
291 250.7 0.077
314 4.8 0.265
314 25.1 0.268
314 44.9 0.251
314 74.9 0.3
314 99.3 0.23
314 125.4 0.153
314 149.7 0.105
314 175.8 0.091
314 251.1 0.028
342 5.5 0.342
342 26.1 0.307
342 44.9 0.307
342 75.3 0.314
342 100.8 0.314
342 126.8 0.209
342 150.9 0.132
342 175.6 0.119
342 249.5 0.084
13 5.7 0.307
13 25.9 0.345
13 45.7 0.342
13 75.8 0.293
13 100.7 0.275
13 125.5 0.223
13 150.7 0.188
13 175.9 0.153
13 251.2 0.091
49 5.4 0.279
49 25.2 0.303
49 44.6 0.279
49 75.2 0.307
49 100.6 0.268
49 125.7 0.23
49 151.3 0.216
49 177.1 0.153
49 251.2 0.056
75 5.6 0.321
75 24.9 0.314
75 45.9 0.349
75 76.8 0.307
75 101.1 0.286
75 125.3 0.286
75 152.3 0.216
75 176 0.153
75 251.6 0.07
104 4.9 0.251
104 25.4 0.3
104 44.8 0.314
104 75.1 0.307
104 99.6 0.331
104 125.7 0.251
104 150.3 0.188
104 175 0.16
104 249.5 0.119
104 498.8 0.042
129 7.3 0.272
129 27 0.286
129 47.2 0.286
129 76.7 0.244
129 101.5 0.251
129 125.4 0.171
129 149.9 0.098
129 173.8 0.077
129 246.4 0.049
129 494.5 0.035
194 4.6 0.293
194 24.6 0.307
194 45.2 0.307
194 75.3 0.321
194 99.6 0.397
194 124.3 0.265
194 149.7 0.202
194 174.7 0.146
194 249.8 0.077
194 499.5 0.028
225 25 0.311
225 44.7 0.412
225 75 0.328
225 99.7 0.283
225 124.6 0.279
225 150.5 0.099
225 175.6 0.125
225 249.1 0.045
225 499.2 0.023
287 24.5 0.241
287 44.7 0.306
287 74.2 0.261
287 98.9 0.223
287 124.2 0.186
287 149.7 0.119
287 174.7 0.11
287 249.4 0.045
287 500 0.033
312 4.4 0.263
312 23.9 0.236
312 43.9 0.24
312 73.7 0.24
312 99.1 0.242
312 125.1 0.146
312 149.6 0.113
312 176.3 0.09
312 251.3 0.05
312 499.8 0.032
348 5.3 0.272
348 24.8 0.3
348 44.6 0.345
348 75.1 0.307
348 100.6 0.216
348 125.3 0.091
348 150.2 0.098
348 174.8 0.084
348 251.4 0.049
33 4.3 0.223
33 24.7 0.247
33 44.9 0.237
33 74.4 0.23
33 98.7 0.258
33 123.8 0.181
33 149.4 0.209
33 174.9 0.084
33 250.2 0.035
60 4.5 0.244
60 25.5 0.272
60 44.6 0.265
60 76.2 0.244
60 98.8 0.254
60 124.2 0.209
60 149.8 0.139
60 175.3 0.098
60 250.4 0.063
60 499.2 0.035
88 5.1 0.247
88 25 0.261
88 45.3 0.254
88 74 0.24
88 100.6 0.213
88 125.3 0.155
88 149 0.105
88 173.9 0.084
88 249.8 0.06
88 499.4 0.047
116 4.2 0.248
116 24.8 0.27
116 45.4 0.252
116 75.3 0.248
116 99.7 0.273
116 149.8 0.156
116 174.3 0.105
116 250 0.045
117 124.1 0.181
144 4.3 0.275
144 24.2 0.292
144 43.9 0.299
144 74.6 0.299
144 99.2 0.238
144 124.1 0.279
144 148.5 0.138
144 175.8 0.102
144 250.2 0.064
144 499.2 0.039
172 3.9 0.371
172 29.6 0.516
172 44 0.283
172 74 0.248
172 99.4 0.221
172 123.6 0.201
172 149.1 0.141
172 174.2 0.096
172 249.5 0.059
172 498.4 0.044
208 3.6 0.423
208 249.5 0.061
208 498.5 0.036
208 124.2 0.202
208 148.2 0.164
208 175.2 0.107
209 4.4 0.452
209 14.3 0.52
209 24.3 0.482
209 59.5 0.441
209 104.3 0.245
209 150.2 0.174
235 5.2 0.242
235 25.3 0.269
235 44.6 0.258
235 74.2 0.276
235 100 0.219
235 125 0.298
235 149.7 0.136
235 175.6 0.093
235 251 0.056
235 499.5 0.037
292 4.6 0.26
292 24.9 0.274
292 45.3 0.265
292 74.4 0.188
292 99.1 0.217
292 124.4 0.158
292 148.8 0.114
292 175.8 0.07
292 250.3 0.044
335 4.7 0.383
335 24.7 0.305
335 44.6 0.284
335 74.8 0.285
335 100.3 0.281
335 125.2 0.183
335 174.2 0.094
335 199.2 0.077
335 249.7 0.067
335 352.2 0.059
355 4.3 0.253
355 23.9 0.253
355 44.6 0.273
355 74.7 0.253
355 98.7 0.256
355 124.1 0.198
355 150.9 0.122
355 175.4 0.105
355 200.3 0.085
355 249.1 0.052
355 349.9 0.047
355 349.8 0.049
17 3.9 0.249
17 24 0.246
17 43.8 0.298
17 73.3 0.268
17 100.3 0.236
17 122.8 0.204
17 149.7 0.133
17 174.6 0.118
17 199 0.087
17 248.7 0.076
17 348 0.046
17 349.6 0.039
17 399.1 0.075
46 24.4 0.249
46 44.6 0.251
46 74 0.223
46 99 0.214
46 125.4 0.122
46 148.5 0.1
46 174.9 0.106
46 199.3 0.056
46 249.3 0.05
46 350.5 0.029
46 350.5 0.047
80 75.4 0.25
80 3.6 0.258
80 24.6 0.256
80 43.7 0.259
80 74.8 0.268
80 99.1 0.233
80 123.1 0.241
80 149 0.109
80 173.7 0.101
80 199.3 0.081
80 250.4 0.065
80 349.4 0.055
80 349.2 0.053
107 3.6 0.239
107 23.7 0.234
107 43.6 0.235
107 73.3 0.199
107 98.9 0.239
107 125.3 0.238
107 149.5 0.203
107 173.3 0.13
107 198 0.097
107 249.2 0.057
107 348.8 0.045
107 348.8 0.057
137 4.8 0.298
137 24.1 0.3
137 44.7 0.415
137 99.5 0.229
137 124.2 0.226
137 149.4 0.144
137 175.6 0.091
137 200.3 0.066
137 249.5 0.056
137 349.9 0.045
137 349.9 0.046
165 3.7 0.262
165 23.3 0.246
165 44.4 0.274
165 73.4 0.264
165 98.6 0.238
165 124.6 0.195
165 147.9 0.148
165 174 0.097
165 198.8 0.066
165 250.2 0.058
165 347.7 0.04
165 348.1 0.042
192 4 0.263
192 24.9 0.264
192 44 0.274
192 74.2 0.235
192 98.8 0.252
192 124.3 0.168
192 149.5 0.114
192 174.3 0.092
192 199.5 0.084
192 249 0.064
192 350.4 0.044
192 350.3 0.052
221 4.6 0.231
221 25.1 0.303
221 44.3 0.304
221 74.5 0.277
221 99.2 0.255
221 124 0.181
221 149.7 0.108
221 174.7 0.082
221 199.6 0.075
221 250.4 0.085
221 349.4 0.052
221 349.4 0.049
275 4.7 0.294
275 25.1 0.3
275 44.9 0.284
275 75.9 0.263
275 100 0.267
275 125.1 0.176
275 149.6 0.123
275 174.3 0.103
275 200.8 0.079
275 250.1 0.06
275 349.4 0.043
275 349.5 0.048
296 5 0.403
296 26.5 0.41
296 45.4 0.382
296 75.5 0.289
296 100.1 0.242
296 124.7 0.126
296 150.1 0.093
296 174.3 0.079
296 201.7 0.049
296 250.1 0.06
296 350.6 0.049
296 350.7 0.051
321 3.9 0.313
321 24.2 0.285
321 43.6 0.28
321 74.1 0.301
321 98.9 0.267
321 125.2 0.182
321 150.9 0.113
321 172.4 0.095
321 199.3 0.084
321 249.7 0.07
321 353.4 0.058
321 352.7 0.058
349 4.3 0.266
349 26.2 0.265
349 44.6 0.259
349 75.7 0.268
349 99.7 0.27
349 125.7 0.11
349 149.1 0.086
349 176.3 0.072
349 199.5 0.065
349 251.1 0.053
349 350.1 0.042
349 350.5 0.041
16 4.9 0.276
16 23.7 0.258
16 45 0.266
16 74.3 0.288
16 98.6 0.26
16 125.7 0.252
16 150.3 0.186
16 173.6 0.127
16 199 0.091
16 248.7 0.084
16 351.2 0.051
16 350.6 0.051
52 4.5 0.24
52 24.5 0.258
52 44.2 0.238
52 75.8 0.227
52 98.9 0.228
52 123.8 0.141
52 149.2 0.1
52 175.4 0.08
52 198.1 0.078
52 250.9 0.058
52 351.9 0.048
52 351.5 0.052
72 4.6 0.26
72 24.6 0.266
72 44.5 0.257
72 74.8 0.263
72 99.8 0.235
72 124.3 0.207
72 148.5 0.155
72 173.9 0.1
72 199.5 0.078
72 249.1 0.069
72 349.2 0.052
72 349.2 0.05
141 4.3 0.273
141 25.2 0.271
141 44.9 0.31
141 75.1 0.274
141 124.3 0.239
141 150.5 0.113
141 174.2 0.092
141 200.7 0.065
141 250.3 0.062
141 349.4 0.053
141 349.5 0.051
180 4.4 0.268
180 24 0.274
180 44.3 0.307
180 74 0.322
180 99.4 0.261
180 123.8 0.212
180 149.4 0.128
180 174.6 0.098
180 199.4 0.082
180 250.1 0.065
180 350.6 0.054
180 350.2 0.056
240 5 0.305
240 24.2 0.296
240 45.6 0.294
240 74.5 0.313
240 100.4 0.272
240 123 0.249
240 149.6 0.159
240 174.8 0.111
240 201.1 0.111
240 248 0.077
240 350.3 0.049
240 350.2 0.048
280 5.3 0.345
280 25.7 0.348
280 44.9 0.401
280 75.2 0.289
280 101 0.301
280 126.1 0.251
280 151.3 0.124
280 177 0.119
280 203.6 0.098
280 248 0.085
280 350.9 0.06
280 351.1 0.063
308 4.9 0.206
308 24.6 0.294
308 44.6 0.312
308 75.1 0.327
308 99.9 0.256
308 125.3 0.215
308 150 0.134
308 175.3 0.104
308 199.4 0.117
308 250.1 0.074
308 349.8 0.054
308 349.7 0.051
329 4 0.265
329 24.8 0.303
329 44.9 0.284
329 74.1 0.287
329 99.4 0.252
329 124.8 0.152
329 149.9 0.108
329 174.3 0.091
329 199.4 0.087
329 250.3 0.06
329 350.6 0.054
329 350.5 0.053
353 4.9 0.28
353 24.7 0.257
353 43.8 0.285
353 76.1 0.269
353 100.3 0.272
353 124.4 0.242
353 150.1 0.124
353 174.9 0.099
353 199.5 0.087
353 250.1 0.072
353 347.5 0.052
353 347.7 0.056
17 4.4 0.275
17 25 0.288
17 43.3 0.286
17 73.7 0.281
17 101 0.266
17 125.6 0.156
17 147.9 0.112
17 174.2 0.09
17 199.5 0.087
17 249.4 0.077
17 350.2 0.059
17 350.2 0.06
57 4.8 0.255
57 24 0.258
57 45 0.279
57 73.5 0.233
57 98.7 0.282
57 125.6 0.211
57 148.3 0.119
57 173.1 0.102
57 199 0.093
57 249.7 0.085
57 348.2 0.055
57 348.2 0.058
88 8.9 0.311
88 25.4 0.306
88 44.2 0.303
88 74.9 0.289
88 99.9 0.245
