"DOY" "Depth" "PON"
201 3.6 0.423
201 249.5 0.061
201 124.2 0.202
201 148.2 0.164
201 175.2 0.107
201 4.4 0.452
201 14.3 0.52
201 24.3 0.482
201 59.5 0.441
201 104.3 0.245
201 150.2 0.174
232 5.2 0.242
232 25.3 0.269
232 44.6 0.258
232 74.2 0.276
232 100 0.219
232 125 0.298
232 149.7 0.136
232 175.6 0.093
293 4.6 0.26
293 24.9 0.274
293 45.3 0.265
293 74.4 0.188
293 99.1 0.217
293 124.4 0.158
293 148.8 0.114
293 175.8 0.07
324 4.7 0.383
324 24.7 0.305
324 44.6 0.284
324 74.8 0.285
324 100.3 0.281
324 125.2 0.183
324 174.2 0.094
324 199.2 0.077
324 249.7 0.067
355 4.3 0.253
355 23.9 0.253
355 44.6 0.273
355 74.7 0.253
355 98.7 0.256
355 124.1 0.198
355 150.9 0.122
355 175.4 0.105
355 200.3 0.085
355 249.1 0.052
20 3.9 0.249
20 24 0.246
20 43.8 0.298
20 73.3 0.268
20 100.3 0.236
20 122.8 0.204
20 149.7 0.133
20 174.6 0.118
20 199 0.087
20 248.7 0.076
51 24.4 0.249
51 44.6 0.251
51 74 0.223
51 99 0.214
51 125.4 0.122
51 148.5 0.1
51 174.9 0.106
51 199.3 0.056
51 249.3 0.05
79 75.4 0.25
79 3.6 0.258
79 24.6 0.256
79 43.7 0.259
79 74.8 0.268
79 99.1 0.233
79 123.1 0.241
79 149 0.109
79 173.7 0.101
79 199.3 0.081
110 3.6 0.239
110 23.7 0.234
110 43.6 0.235
110 73.3 0.199
110 98.9 0.239
110 125.3 0.238
110 149.5 0.203
110 173.3 0.13
110 198 0.097
110 249.2 0.057
140 4.8 0.298
140 24.1 0.3
140 44.7 0.415
140 99.5 0.229
140 124.2 0.226
140 149.4 0.144
140 175.6 0.091
140 200.3 0.066
140 249.5 0.056
171 3.7 0.262
171 23.3 0.246
171 44.4 0.274
171 73.4 0.264
171 98.6 0.238
171 124.6 0.195
171 147.9 0.148
171 174 0.097
171 198.8 0.066
201 4 0.263
201 24.9 0.264
201 44 0.274
201 74.2 0.235
201 98.8 0.252
201 124.3 0.168
201 149.5 0.114
201 174.3 0.092
201 199.5 0.084
201 249 0.064
232 4.6 0.231
232 25.1 0.303
232 44.3 0.304
232 74.5 0.277
232 99.2 0.255
232 124 0.181
232 149.7 0.108
232 174.7 0.082
232 199.6 0.075
293 4.7 0.294
293 25.1 0.3
293 44.9 0.284
293 75.9 0.263
293 100 0.267
293 125.1 0.176
293 149.6 0.123
293 174.3 0.103
293 200.8 0.079
293 5 0.403
293 26.5 0.41
293 45.4 0.382
293 75.5 0.289
293 100.1 0.242
293 124.7 0.126
293 150.1 0.093
293 174.3 0.079
293 201.7 0.049
324 3.9 0.313
324 24.2 0.285
324 43.6 0.28
324 74.1 0.301
324 98.9 0.267
324 125.2 0.182
324 150.9 0.113
324 172.4 0.095
324 199.3 0.084
324 249.7 0.07
354 4.3 0.266
354 26.2 0.265
354 44.6 0.259
354 75.7 0.268
354 99.7 0.27
